Epoch [55/100], Train Loss: 1.0871, Train Acc: 70.85%, Valid Loss: 1.7197, Valid Acc: 61.02%
Epoch [56/100], Train Loss: 1.0819, Train Acc: 70.97%, Valid Loss: 1.7232, Valid Acc: 61.05%
Epoch [57/100], Train Loss: 1.0779, Train Acc: 71.06%, Valid Loss: 1.7306, Valid Acc: 61.12%
Epoch [58/100], Train Loss: 1.0723, Train Acc: 71.24%, Valid Loss: 1.7209, Valid Acc: 60.93%
Epoch [59/100], Train Loss: 1.0686, Train Acc: 71.23%, Valid Loss: 1.7286, Valid Acc: 61.09%
Epoch [60/100], Train Loss: 1.0641, Train Acc: 71.34%, Valid Loss: 1.7381, Valid Acc: 61.04%
Epoch [61/100], Train Loss: 1.0608, Train Acc: 71.42%, Valid Loss: 1.7313, Valid Acc: 60.91%
Epoch [62/100], Train Loss: 1.0562, Train Acc: 71.52%, Valid Loss: 1.7236, Valid Acc: 61.04%
Epoch [63/100], Train Loss: 1.0509, Train Acc: 71.62%, Valid Loss: 1.7397, Valid Acc: 60.98%
Epoch [64/100], Train Loss: 1.0467, Train Acc: 71.69%, Valid Loss: 1.7281, Valid Acc: 60.87%
Epoch [65/100], Train Loss: 1.0427, Train Acc: 71.78%, Valid Loss: 1.7364, Valid Acc: 60.97%
Epoch [66/100], Train Loss: 1.0385, Train Acc: 71.85%, Valid Loss: 1.7472, Valid Acc: 60.90%
Epoch [67/100], Train Loss: 1.0351, Train Acc: 71.95%, Valid Loss: 1.7388, Valid Acc: 61.06%
Epoch [68/100], Train Loss: 1.0327, Train Acc: 72.02%, Valid Loss: 1.7293, Valid Acc: 61.04%
Epoch [69/100], Train Loss: 1.0276, Train Acc: 72.10%, Valid Loss: 1.7366, Valid Acc: 61.15%
Epoch [70/100], Train Loss: 1.0246, Train Acc: 72.14%, Valid Loss: 1.7296, Valid Acc: 60.95%
Epoch [71/100], Train Loss: 1.0209, Train Acc: 72.22%, Valid Loss: 1.7353, Valid Acc: 61.09%
Epoch [72/100], Train Loss: 1.0171, Train Acc: 72.33%, Valid Loss: 1.7537, Valid Acc: 61.08%
Epoch [73/100], Train Loss: 1.0140, Train Acc: 72.40%, Valid Loss: 1.7427, Valid Acc: 61.11%
Epoch [74/100], Train Loss: 1.0100, Train Acc: 72.43%, Valid Loss: 1.7475, Valid Acc: 60.95%
Epoch [75/100], Train Loss: 1.0076, Train Acc: 72.53%, Valid Loss: 1.7440, Valid Acc: 61.14%
Epoch [76/100], Train Loss: 1.0039, Train Acc: 72.59%, Valid Loss: 1.7492, Valid Acc: 61.06%
Epoch [77/100], Train Loss: 1.0004, Train Acc: 72.71%, Valid Loss: 1.7528, Valid Acc: 61.22%
Epoch [78/100], Train Loss: 0.9977, Train Acc: 72.70%, Valid Loss: 1.7446, Valid Acc: 61.21%
Epoch [79/100], Train Loss: 0.9950, Train Acc: 72.77%, Valid Loss: 1.7487, Valid Acc: 61.15%
Epoch [80/100], Train Loss: 0.9926, Train Acc: 72.82%, Valid Loss: 1.7487, Valid Acc: 61.23%
Epoch [81/100], Train Loss: 0.9889, Train Acc: 72.89%, Valid Loss: 1.7539, Valid Acc: 61.11%
Epoch [82/100], Train Loss: 0.9868, Train Acc: 72.98%, Valid Loss: 1.7629, Valid Acc: 61.01%
Epoch [83/100], Train Loss: 0.9831, Train Acc: 73.01%, Valid Loss: 1.7567, Valid Acc: 61.08%
Epoch [84/100], Train Loss: 0.9826, Train Acc: 73.05%, Valid Loss: 1.7404, Valid Acc: 61.21%
Epoch [85/100], Train Loss: 0.9782, Train Acc: 73.14%, Valid Loss: 1.7483, Valid Acc: 61.23%
Epoch [86/100], Train Loss: 0.9773, Train Acc: 73.16%, Valid Loss: 1.7557, Valid Acc: 61.24%
Epoch [87/100], Train Loss: 0.9736, Train Acc: 73.21%, Valid Loss: 1.7516, Valid Acc: 61.11%
Epoch [88/100], Train Loss: 0.9711, Train Acc: 73.28%, Valid Loss: 1.7671, Valid Acc: 61.26%
Epoch [89/100], Train Loss: 0.9701, Train Acc: 73.29%, Valid Loss: 1.7488, Valid Acc: 61.25%
Epoch [90/100], Train Loss: 0.9657, Train Acc: 73.39%, Valid Loss: 1.7558, Valid Acc: 61.24%
Epoch [91/100], Train Loss: 0.9627, Train Acc: 73.48%, Valid Loss: 1.7601, Valid Acc: 61.17%
Epoch [92/100], Train Loss: 0.9622, Train Acc: 73.44%, Valid Loss: 1.7636, Valid Acc: 61.27%
Epoch [93/100], Train Loss: 0.9577, Train Acc: 73.52%, Valid Loss: 1.7647, Valid Acc: 61.26%
Epoch [94/100], Train Loss: 0.9570, Train Acc: 73.60%, Valid Loss: 1.7686, Valid Acc: 61.07%
Epoch [95/100], Train Loss: 0.9539, Train Acc: 73.64%, Valid Loss: 1.7688, Valid Acc: 61.18%
Epoch [96/100], Train Loss: 0.9504, Train Acc: 73.69%, Valid Loss: 1.7738, Valid Acc: 61.18%
Epoch [97/100], Train Loss: 0.9491, Train Acc: 73.75%, Valid Loss: 1.7733, Valid Acc: 60.98%
Epoch [98/100], Train Loss: 0.9464, Train Acc: 73.77%, Valid Loss: 1.7762, Valid Acc: 61.00%
Epoch [99/100], Train Loss: 0.9453, Train Acc: 73.82%, Valid Loss: 1.7745, Valid Acc: 61.26%
Epoch [100/100], Train Loss: 0.9422, Train Acc: 73.86%, Valid Loss: 1.7758, Valid Acc: 60.99%
